"exchange","exchange_token","trading_symbol","groww_symbol","name","instrument_type","segment","series","isin","underlying_symbol","underlying_exchange_token","expiry_date","strike_price","lot_size","tick_size","freeze_quantity","is_reserved","buy_allowed","sell_allowed","internal_trading_symbol","is_intraday"
"NSE",6579,"FINOPB","NSE-FINOPB","Fino Payments Bk","EQ","CASH","EQ","INE02NC01014",,,,,1,0.05,,,1,1,"FINOPB-EQ",0
"NSE",19646,"MAXESTATES","NSE-MAXESTATES","Max Estates","EQ","CASH","EQ","INE03EI01018",,,,,1,0.05,,,1,1,"MAXESTATES-EQ",0
"NSE",8024,"CINEVISTA","NSE-CINEVISTA","Cinevista","EQ","CASH","EQ","INE039B01026",,,,,1,0.01,,,1,1,"CINEVISTA-EQ",0
"NSE",809,"BSHSL","NSE-BSHSL","Bombay Hybrid Seeds","EQ","CASH","EQ","INE032Z01020",,,,,1,0.01,,,1,1,"BSHSL-EQ",0
"NSE",22377,"MAXHEALTH","NSE-MAXHEALTH","Max Healthcare","EQ","CASH","EQ","INE027H01010",,,,,1,0.1,,,1,1,"MAXHEALTH-EQ",0
"NSE",526,"BPCL","NSE-BPCL","BPCL","EQ","CASH","EQ","INE029A01011",,,,,1,0.05,,,1,1,"BPCL-EQ",0
"NSE",8124,"AJANTPHARM","NSE-AJANTPHARM","Ajanta Pharma","EQ","CASH","EQ","INE031B01049",,,,,1,0.1,,,1,1,"AJANTPHARM-EQ",0
"NSE",9902,"AXITA","NSE-AXITA","Axita Cotton","EQ","CASH","EQ","INE02EZ01022",,,,,1,0.01,,,1,1,"AXITA-EQ",0
"NSE",11864,"PRIMESECU","NSE-PRIMESECU","Prime Securities","EQ","CASH","EQ","INE032B01021",,,,,1,0.05,,,1,1,"PRIMESECU-EQ",0
"NSE",4668,"BANKBARODA","NSE-BANKBARODA","Bank of Baroda","EQ","CASH","EQ","INE028A01039",,,,,1,0.05,,,1,1,"BANKBARODA-EQ",0
"NSE",1838,"KARURVYSYA","NSE-KARURVYSYA","Karur Vysya Bank","EQ","CASH","EQ","INE036D01028",,,,,1,0.01,,,1,1,"KARURVYSYA-EQ",0
"NSE",24814,"FIRSTCRY","NSE-FIRSTCRY","Brainbees Solutions","EQ","CASH","EQ","INE02RE01045",,,,,1,0.05,,,1,1,"FIRSTCRY-EQ",0
"NSE",1363,"HINDALCO","NSE-HINDALCO","Hindalco","EQ","CASH","EQ","INE038A01020",,,,,1,0.05,,,1,1,"HINDALCO-EQ",0
"NSE",10457,"ARVSMART","NSE-ARVSMART","Arvind Smartspaces","EQ","CASH","EQ","INE034S01021",,,,,1,0.05,,,1,1,"ARVSMART-EQ",0
"NSE",11530,"EMIL","NSE-EMIL","Electronics Mart Ind","EQ","CASH","EQ","INE02YR01019",,,,,1,0.01,,,1,1,"EMIL-EQ",0
"NSE",13982,"JASH","NSE-JASH","Jash Engineering","EQ","CASH","EQ","INE039O01029",,,,,1,0.05,,,1,1,"JASH-EQ",0
"NSE",19410,"ROSSARI","NSE-ROSSARI","Rossari Biotech","EQ","CASH","EQ","INE02A801020",,,,,1,0.05,,,1,1,"ROSSARI-EQ",0
"NSE",24145,"RETAIL","NSE-RETAIL","JHS Svendgaard Retl","EQ","CASH","EQ","INE03DD01011",,,,,1,0.01,,,1,1,"RETAIL-EQ",0
"NSE",21119,"KICL","NSE-KICL","KICL","EQ","CASH","EQ","INE029L01018",,,,,1,0.5,,,1,1,"KICL-EQ",0
"NSE",8828,"GAEL","NSE-GAEL","Gujarat Ambuja Exp","EQ","CASH","EQ","INE036B01030",,,,,1,0.01,,,1,1,"GAEL-EQ",0
"NSE",20778,"JAMNAAUTO","NSE-JAMNAAUTO","Jamna Auto Inds","EQ","CASH","EQ","INE039C01032",,,,,1,0.01,,,1,1,"JAMNAAUTO-EQ",0
"NSE",25073,"RAYMONDLSL","NSE-RAYMONDLSL","Raymond Lifestyle","EQ","CASH","EQ","INE02ID01020",,,,,1,0.1,,,1,1,"RAYMONDLSL-EQ",0
"NSE",513,"BOMDYEING","NSE-BOMDYEING","Bombay Dyeing Mfg.","EQ","CASH","EQ","INE032A01023",,,,,1,0.01,,,1,1,"BOMDYEING-EQ",0
"NSE",1491,"IFCI","NSE-IFCI","IFCI","EQ","CASH","EQ","INE039A01010",,,,,1,0.01,,,1,1,"IFCI-EQ",0
"NSE",1394,"HINDUNILVR","NSE-HINDUNILVR","Hindustan Unilever","EQ","CASH","EQ","INE030A01027",,,,,1,0.1,,,1,1,"HINDUNILVR-EQ",0
"NSE",24014,"BOROSCI","NSE-BOROSCI","Borosil Scientific","EQ","CASH","EQ","INE02L001032",,,,,1,0.01,,,1,1,"BOROSCI-EQ",0
"NSE",20825,"HUDCO","NSE-HUDCO","HUDCO","EQ","CASH","EQ","INE031A01017",,,,,1,0.01,,,1,1,"HUDCO-EQ",0
"NSE",7835,"WEL","NSE-WEL","Wonder Electricals","EQ","CASH","EQ","INE02WG01024",,,,,1,0.01,,,1,1,"WEL-EQ",0
"NSE",11293,"UNIENTER","NSE-UNIENTER","Uniphos Enterprises","EQ","CASH","EQ","INE037A01022",,,,,1,0.01,,,1,1,"UNIENTER-EQ",0
"NSE",20905,"AZAD","NSE-AZAD","Azad Engineering","EQ","CASH","EQ","INE02IJ01035",,,,,1,0.1,,,1,1,"AZAD-EQ",0
"NSE",270,"CHEMCON","NSE-CHEMCON","Chemcon Speciality","EQ","CASH","EQ","INE03YM01018",,,,,1,0.01,,,1,1,"CHEMCON-EQ",0
"NSE",12018,"SUZLON","NSE-SUZLON","Suzlon Energy","EQ","CASH","EQ","INE040H01021",,,,,1,0.01,,,1,1,"SUZLON-EQ",0
"NSE",14672,"NAVINFLUOR","NSE-NAVINFLUOR","Navin Fluorine Intl","EQ","CASH","EQ","INE048G01026",,,,,1,0.5,,,1,1,"NAVINFLUOR-EQ",0
"NSE",2029,"IRFC","NSE-IRFC","IRFC","EQ","CASH","EQ","INE053F01010",,,,,1,0.01,,,1,1,"IRFC-EQ",0
"NSE",10346,"DGCONTENT","NSE-DGCONTENT","Digicontent","EQ","CASH","EQ","INE03JI01017",,,,,1,0.01,,,1,1,"DGCONTENT-EQ",0
"NSE",9750,"ETHOSLTD","NSE-ETHOSLTD","Ethos","EQ","CASH","EQ","INE04TZ01018",,,,,1,0.1,,,1,1,"ETHOSLTD-EQ",0
"NSE",5631,"PAR","NSE-PAR","Par Drugs & Chemical","EQ","CASH","EQ","INE04LG01015",,,,,1,0.01,,,1,1,"PAR-EQ",0
"NSE",857,"DHAMPURSUG","NSE-DHAMPURSUG","Dhampur Sugar Mills","EQ","CASH","EQ","INE041A01016",,,,,1,0.01,,,1,1,"DHAMPURSUG-EQ",0
"NSE",10297,"PPL","NSE-PPL","Prakash Pipes","EQ","CASH","EQ","INE050001010",,,,,1,0.05,,,1,1,"PPL-EQ",0
"NSE",958,"ESCORTS","NSE-ESCORTS","Escorts","EQ","CASH","EQ","INE042A01014",,,,,1,0.1,,,1,1,"ESCORTS-EQ",0
"NSE",1232,"GRASIM","NSE-GRASIM","Grasim Industries","EQ","CASH","EQ","INE047A01021",,,,,1,0.1,,,1,1,"GRASIM-EQ",0
"NSE",18012,"VLEGOV","NSE-VLEGOV","VL E-Governance & IT","EQ","CASH","EQ","INE03HW01020",,,,,1,0.01,,,1,1,"VLEGOV-EQ",0
"NSE",14501,"BALAMINES","NSE-BALAMINES","Balaji Amines","EQ","CASH","EQ","INE050E01027",,,,,1,0.1,,,1,1,"BALAMINES-EQ",0
"NSE",34,"ADOR","NSE-ADOR","Ador Welding","EQ","CASH","EQ","INE045A01017",,,,,1,0.1,,,1,1,"ADOR-EQ",0
"NSE",20831,"MUTHOOTMF","NSE-MUTHOOTMF","Muthoot Microfin","EQ","CASH","EQ","INE046W01019",,,,,1,0.01,,,1,1,"MUTHOOTMF-EQ",0
"NSE",24969,"WINDMACHIN","NSE-WINDMACHIN","Windsor Machines","EQ","CASH","EQ","INE052A01021",,,,,1,0.05,,,1,1,"WINDMACHIN-EQ",0
"NSE",6216,"CAMLINFINE","NSE-CAMLINFINE","Camlin Fine Sciences","EQ","CASH","EQ","INE052I01032",,,,,1,0.01,,,1,1,"CAMLINFINE-EQ",0
"NSE",5585,"VIJAYA","NSE-VIJAYA","VDC","EQ","CASH","EQ","INE043W01024",,,,,1,0.05,,,1,1,"VIJAYA-EQ",0
"NSE",7506,"WOCKPHARMA","NSE-WOCKPHARMA","Wockhardt","EQ","CASH","EQ","INE049B01025",,,,,1,0.1,,,1,1,"WOCKPHARMA-EQ",0
